date,platform,owner,category,campaign_name,ad_name,spend,revenue,orders,clicks,impressions,ctr,cpa,roi
2026-07-05,Facebook,Alice,Beauty,US_Summer_Sale,FB_US_Creative_A,120.00,108.00,3,240,12000,0.0200,40.00,0.90
2026-07-05,Facebook,Alice,Beauty,US_Summer_Sale,FB_US_Creative_B,95.00,171.00,6,310,15500,0.0200,15.83,1.80
2026-07-05,Facebook,Alice,Beauty,CA_New_User,FB_CA_Video_A,80.00,304.00,8,360,10000,0.0360,10.00,3.80
2026-07-05,Google,Ben,Electronics,Brand_Search,GG_Brand_Exact,150.00,525.00,15,520,18000,0.0289,10.00,3.50
2026-07-05,Google,Ben,Electronics,Shopping_Generic,GG_Shopping_Generic_A,210.00,210.00,5,420,30000,0.0140,42.00,1.00
2026-07-05,Google,Ben,Electronics,Shopping_Generic,GG_Shopping_Generic_B,180.00,396.00,9,390,26000,0.0150,20.00,2.20
2026-07-05,TikTok,Cindy,Home,Creative_Test,TTK_Hook_A,60.00,48.00,2,500,50000,0.0100,30.00,0.80
2026-07-05,TikTok,Cindy,Home,Creative_Test,TTK_Hook_B,75.00,187.50,5,900,45000,0.0200,15.00,2.50
2026-07-05,TikTok,Alice,Beauty,Beauty_Bundle,TTK_Bundle_A,130.00,520.00,13,1600,40000,0.0400,10.00,4.00
2026-07-05,Facebook,Cindy,Home,Retargeting,FB_RT_Carousel_A,70.00,203.00,7,280,7000,0.0400,10.00,2.90
2026-07-05,Google,Ben,Electronics,Competitor_Search,GG_Competitor_A,160.00,112.00,4,260,20000,0.0130,40.00,0.70
2026-07-05,TikTok,Cindy,Home,Prospecting_Broad,TTK_Broad_A,100.00,310.00,10,1250,50000,0.0250,10.00,3.10
